AC_NO,HEAD,total_spend_pkr,first_txn,last_txn,months_active
6506,Labour charges Exp- Paddy Roughing,32000.0,2023-10-06,2023-10-18,1
6313,Vehicle Repair KWM-17-7032 M.Khalid,31880.0,2023-08-01,2025-08-31,19
2006,Irrigation Expenses,31291.0,2023-08-29,2024-08-02,7
3365,Labour chgarges,31260.0,2023-07-17,2023-10-28,4
3140,Pesticide Expenses,30831.0,2023-09-30,2023-12-31,2
6338,Telephone Exp Farid,30700.0,2023-08-07,2025-10-14,27
3750,Pesticide Expenses,30400.0,2025-03-31,2025-03-31,1
2757,Freight & Octroi,30300.0,2023-07-07,2023-12-31,3
6339,Telephone Exp Khaliq Dad,30300.0,2023-08-07,2025-10-06,21
2865,Labour charges,30100.0,2025-01-03,2025-05-21,3
6531,Commission on Sale of Wheat Seed,30000.0,2023-12-23,2023-12-23,1
5962,Vehicle R&M Repair 6989(Pick u,29763.0,2024-02-22,2024-03-31,2
2864,Ploughing Expenses,29546.0,2024-12-27,2024-12-27,1
2123,Pesticide Expenses,28884.0,2024-03-31,2024-06-30,2
259,Entertainment-Selling,28778.0,2023-07-04,2024-05-22,7
3741,Freight & Octroi,28700.0,2023-11-27,2024-05-28,6
2314,Labour charges-sunflower,28457.0,2023-07-27,2025-06-30,4
6349,Telephone Exp Hassan Gardezi,28170.0,2023-07-17,2025-08-31,21
6327,Vehicle Repari KWM-17-2347 Mess,27530.0,2023-08-07,2025-09-30,15
1737,Entertainment,27450.0,2023-12-04,2025-02-10,13
5644,Labour charges SSG(DAL),26974.0,2023-08-23,2025-05-05,8
4362,Electricity expense,26680.0,2024-01-31,2024-01-31,1
4356,Fertilizer,26506.0,2025-09-30,2025-09-30,1
6341,Telephone Exp Haider Abbas,26000.0,2023-08-03,2025-09-17,25
6473,Vehicle R&M Repair 155 AEJ(Dr.Shah),25950.0,2023-07-31,2024-03-06,7
6359,Telephone Exp Zafar Iqbal,25840.0,2023-07-22,2025-06-24,23
3170,Misc.expenses,25800.0,2023-12-15,2023-12-15,1
2007,Misc.Expenses,25580.0,2023-09-02,2025-05-23,14
3744,Misc expenses,25255.0,2024-05-07,2024-05-28,1
3464,Telephone Expenses-MFG,24839.0,2024-01-19,2025-05-10,4
6354,Telephone Exp Haifz Ghulam Qadir,24460.0,2023-07-31,2025-06-30,23
3188,Commission on sale of corn seed,24306.0,2023-12-31,2024-05-18,2
3545,Pesticide Expenses,24129.0,2024-03-31,2024-09-30,3
6325,Vehicle Repair KWN-17-4123 Naveed,23810.0,2023-07-22,2024-09-19,13
6301,Telephone Exp Nazar Ali,23200.0,2023-07-27,2025-10-18,26
3543,Ploughing Expenses,22886.0,2024-03-27,2024-08-06,3
4252,Labour charges,22840.0,2025-07-19,2025-08-25,2
4363,Freight & Octroi,22500.0,2024-06-28,2024-08-13,2
6345,Telephone Exp M.Khalid,22480.0,2023-07-22,2025-09-30,26
5184,Labour charges-soyabean,22478.0,2023-07-27,2024-07-25,4
6329,Vehicle Repari AGB-6545 Faisal Driv,21920.0,2023-11-15,2025-10-14,11
6340,Telephone Exp Abdul Rauf,21700.0,2023-08-07,2025-09-30,20
6171,Freight & Octroi-purchases Raya,21680.0,2023-09-18,2024-03-09,2
2796,Fertilizer expenses,21451.0,2025-09-30,2025-09-30,1
3465,Travelling & conveyance-MFG.,21288.0,2024-01-26,2025-07-22,4
6174,Freight & octroi-silage,20037.0,2024-05-02,2024-05-02,1
449,Purchase of Raw Material (Peas),20000.0,2023-07-15,2023-07-15,1
6439,Telephone Exp Kafitullah,19830.0,2023-07-22,2025-10-10,26
3127,Misc.expenses,19210.0,2023-11-28,2024-05-28,3
6571,Misc Exp,19115.0,2024-03-30,2024-06-30,3
1780,Misc.Expenses,19080.0,2023-09-08,2023-12-09,3
5395,Labour charges vanda,19064.0,2025-02-15,2025-09-24,3
4360,Pesticide expenses,19030.0,2024-03-31,2024-09-30,3
3075,Misc.Expenses,18940.0,2024-02-23,2025-06-26,6
3148,Purchase of wheat seed,18677.0,2023-12-19,2025-03-19,9
5140,Ploughing Exp Paddy,18575.0,2025-07-19,2025-08-06,2
4253,Pesticide exp,18400.0,2025-09-30,2025-09-30,1
2793,Ploughing Expenses.,18041.0,2025-07-24,2025-08-06,2
6343,Telephone Exp Shahid Sajjad,17750.0,2023-08-07,2025-10-17,20
2328,Labour charges-corn,17278.0,2024-03-31,2024-03-31,1
3391,Labour charges,17000.0,2025-02-25,2025-02-25,1
6649,Germination Claim SSG Seed,17000.0,2025-05-20,2025-06-19,2
6491,Misc Exp Corn,16970.0,2023-09-19,2023-11-30,3
5777,Freight & Octroi-R&D,16800.0,2023-07-14,2025-10-08,7
4538,Freight & Octroi,16500.0,2023-09-12,2024-01-26,3
3956,Discount-SSG,16500.0,2025-05-21,2025-06-30,2
2814,Freight & Octroi-okra,16100.0,2024-01-08,2024-10-22,2
5160,Freight & Octroi,16000.0,2025-08-31,2025-08-31,1
4359,Tractor repair,16000.0,2024-02-24,2024-02-24,1
6321,Vehicle Repari KWL-17 5493 Imran Pl,15460.0,2023-07-31,2024-04-18,4
1740,Tractor Maintenance,15200.0,2023-09-19,2023-09-19,1
6342,Telephone Exp Subhan Ali,15200.0,2023-08-17,2025-08-27,23
6005,Labour Purchase of Afgoyee Seed,15000.0,2024-01-11,2024-12-03,2
5556,Irrigation expenses,14800.0,2025-02-21,2025-02-21,1
2869,Freight & Octroi,14500.0,2025-05-17,2025-05-20,1
6610,Pesticide Gulab Shah,14184.0,2024-09-30,2024-12-31,2
2763,Pesticide Expenses,13936.0,2025-06-30,2025-06-30,1
3617,Freight & Octroi-SSG,13400.0,2024-04-18,2025-02-25,2
6388,Land Lease Exp,13000.0,2025-02-25,2025-02-26,1
3232,Misc.expenses,12706.0,2023-12-02,2025-03-26,2
6319,Vehicle Repair GAQ-7345 Hassan Ayub,12040.0,2023-08-07,2024-04-30,7
3930,Freight & Octroi,11840.0,2024-03-30,2024-03-30,1
2167,Labour charges-Peas seed,11550.0,2023-10-10,2024-09-23,2
6334,Vehicle POL 6768 M.Saleem,10900.0,2023-08-07,2023-10-12,3
3131,Labour charges,10837.0,2023-07-31,2023-11-30,5
3172,Freight & Octroi,10300.0,2023-08-03,2023-12-15,4
2671,Purchase of delinted cotton seed,10071.0,2024-12-03,2024-12-03,1
2800,Misc.Expenses,9750.0,2024-06-12,2024-06-12,1
6647,Germination Claim Paddy,9600.0,2024-09-30,2024-09-30,1
1723,Labour Expenses,9412.0,2023-09-07,2023-09-23,1
2276,Labour charges-Sunflower,9249.0,2024-11-30,2024-12-27,2
5641,Uniform expenses-SG,9200.0,2023-12-15,2023-12-15,1
4485,Abiyana exp,9179.0,2023-12-14,2023-12-14,1
5652,Vehicle R&M POL 6989(Pick Up),9000.0,2023-09-30,2023-10-04,2
6314,Vehicle POL KWM-19 1940 Yasir Yaqob,8340.0,2023-08-07,2023-10-12,3
6322,Vehicle POL KWD-2271 Ghulam Farid,8300.0,2023-07-15,2024-02-13,5
4974,Freight & Octroi-vanda,8000.0,2025-01-23,2025-03-20,2
3373,Purchase of SSG,8000.0,2023-08-03,2023-08-03,1
1593,Purchase of canola,8000.0,2023-10-02,2023-10-02,1
6563,Freight & Octroi,7700.0,2024-03-30,2024-06-28,2
5121,Vehicle Repair LEC-1186  Rizwan Sb.,7550.0,2023-07-17,2023-11-30,3
6332,Vehicle POL 9053 M.Waqas Mech.Sup,7500.0,2023-08-07,2023-10-12,3
3366,Irrigation expenses,7350.0,2023-07-17,2023-08-22,2
5630,Vegetable Seed,7259.0,2023-12-14,2025-02-25,3
234,Travelling & Conveyance Directors,6950.0,2023-09-16,2023-09-19,1
5834,Misc.Expenses,6920.0,2023-11-30,2024-01-11,3
6365,Telephone expenses-Sohail sb,6680.0,2024-08-31,2025-09-30,4
3791,Ploughing Expenses,6670.0,2024-01-31,2024-01-31,1
1520,Purchase of fuzzy cotton seed,6600.0,2023-08-05,2023-08-05,1
3789,Labour charges-SSG,6600.0,2024-04-06,2024-04-25,1
3987,Misc expenses,6400.0,2023-07-31,2023-09-07,3
5935,Travelling & Cony.Production staff,6300.0,2024-04-30,2025-05-31,2
5755,Sample wheat seed,6000.0,2024-11-07,2024-11-07,1
6320,Vehicle POL KWL-17 5493 Imran Plant,5270.0,2023-08-07,2023-10-12,3
6633,Telephone Exp  Zain Ullah Abideen,5100.0,2025-03-22,2025-10-02,7
6173,Discount on sale of corn afgoyee,5100.0,2025-06-19,2025-06-19,1
5138,Misc expense Paddy,4900.0,2025-08-06,2025-08-06,1
2171,Labour charges-Peas seed,4793.0,2024-09-30,2025-08-31,2
1871,Telephone exp,4600.0,2023-11-25,2024-04-09,2
4785,Freight & Octroi,4500.0,2023-09-25,2024-10-22,3
2845,Freight & Octroi,4200.0,2024-03-20,2024-06-12,4
6443,Labour Charges Dryer Chili,4150.0,2023-07-27,2023-07-27,1
2813,Freight & Octroi-okra,4000.0,2024-09-12,2024-09-12,1
6428,Labour Charges Tomato,3879.0,2024-05-24,2024-07-25,2
838,Travelling Conveyance           (G),3680.0,2023-09-02,2023-09-02,1
4520,Diesel for tractor,3480.0,2023-09-12,2023-10-30,2
5134,Labour charges-vanda,3370.0,2024-03-21,2025-09-19,4
3291,Freight & Octroi,2800.0,2023-11-20,2023-12-19,2
2282,Labour charges-SSG,2691.0,2023-11-30,2024-03-31,3
6383,Insect Net,2655.0,2025-08-01,2025-10-08,2
2745,Shelling expenses-corn,2500.0,2024-12-27,2024-12-27,1
6608,Misc Exp.,2500.0,2024-10-16,2024-10-16,1
5578,Micronutrient-Bolo,2480.0,2024-02-15,2024-03-01,2
4786,Misc Exp,2410.0,2023-11-30,2023-12-27,2
3149,Purchase of wheat seed,2370.0,2023-11-28,2023-11-28,1
5135,Freight & Octroi-javi,2200.0,2024-10-22,2025-02-03,2
3929,Freight & Octroi,2000.0,2024-05-02,2024-05-02,1
5420,labour charges-micronutrient,1663.0,2025-10-09,2025-10-09,1
4361,salary & wages,1650.0,2024-08-13,2024-08-13,1
6323,Vehicle Repair KWD-2271 Ghulam Fard,1550.0,2023-09-12,2023-09-12,1
3428,Freight & octroi,1400.0,2023-10-26,2023-10-31,1
3834,Lease Exp.,1400.0,2025-09-25,2025-10-08,2
6335,Vehicle Repair 6768 M.Saleem,1250.0,2023-09-12,2023-09-12,1
827,Entertainment                   (G),1060.0,2023-09-30,2023-09-30,1
6352,Telephone Exp Aslam Shakir,1000.0,2023-10-31,2023-12-22,2
5178,Labour Expenses-Organic matter,1000.0,2025-10-08,2025-10-08,1
6444,Telephone Exp M.Naveed,999.0,2023-07-27,2023-07-27,1
6655,Electricity Exp,865.0,2025-05-30,2025-06-27,2
3550,Freight & Octroi,700.0,2023-12-15,2023-12-15,1
4395,Pesticide exp,500.0,2023-10-10,2023-10-10,1
6315,Vehicle Repair KWM-19 1940 Yasir Ya,500.0,2023-09-12,2023-09-12,1
3233,Entertainment expenses,500.0,2023-09-08,2023-09-08,1
1772,Freight & Octori,500.0,2023-09-27,2023-09-27,1
5185,Labour charges soyabean,468.0,2023-07-20,2023-08-23,2
3974,Lease expenses,190.0,2023-12-19,2023-12-19,1
4028,Misc expenses,170.0,2025-02-25,2025-02-25,1
2461,Vehicle R&M POL & Repair,150.0,2025-07-19,2025-07-19,1
1885,Gain on sale of fixed assets,0.0,2023-12-23,2025-03-31,2
3230,Chemical application & packing char,0.0,2023-07-12,2025-09-11,18
1922,Bad Debts selling,0.0,2023-12-31,2023-12-31,1
5628,Processing charges of RAYA Seed,0.0,2023-08-31,2025-09-11,4
3156,Income-Kamboh Farm,0.0,2023-07-08,2024-05-28,4
3154,Income-Abbas Khan farm,0.0,2024-12-31,2024-12-31,1
3153,Income-Behrowal Farm,0.0,2024-09-11,2024-09-13,1
3152,Income-Chak Shahana farm,0.0,2025-08-04,2025-08-04,1
5691,Packing charges-cotton seed,0.0,2023-09-25,2025-05-10,3
337,Other Income,0.0,2023-07-24,2025-10-17,28
5597,Processing charges of Bajra seed,0.0,2024-06-03,2024-06-03,1
5428,Farm Income (39/10-R),0.0,2024-06-01,2024-12-02,2
3411,Packing charges-cotton seed,0.0,2023-09-27,2025-04-21,4
2161,Processing of wheat seed,0.0,2023-08-24,2024-10-26,5
2162,Processing of Peas seed,0.0,2023-09-26,2025-08-21,3
5191,"Mazhar Khan Chak 77/10-R,KWL",0.0,2024-05-04,2025-08-16,4
4285,Harvesting charges of Turnip,0.0,2024-01-19,2025-06-17,2
4389,Processing charges-carrot seed,0.0,2025-10-13,2025-10-13,1
2180,Harvesting Income-Paddy,0.0,2023-07-31,2023-10-31,4
2259,Processing charges of Okra seed,0.0,2025-08-26,2025-08-26,1
2285,Processing charges-SSG,0.0,2023-08-01,2023-08-01,1
2286,Processing charges-Sunflower,0.0,2024-11-27,2024-12-05,2
2319,Processing charges-corn seed,0.0,2023-07-12,2025-07-04,8
2301,Processing charges-paddy,0.0,2024-04-20,2025-05-30,8
2160,Delinting & processing-cotton seed,0.0,2023-11-20,2025-05-10,13
